Particulars, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079
Interest income,2068,"531,348","1,077,068",,"2,289,360","585,854",,"1,699,956",,3.2,"1,084,841","1,672,887","2,489,315","498,358","299,796","524,165","959,543","1,608,874","428,874","057,999","734,894","575,616",,"4,682,811","380,089","1,878,038",,"4,654,627","3,223,479","1,549,556",,"2,098,753",,,,,,,,,,,,,,,,,,
Interest expense,"1,503,851","343,575",,,"1,645,718","426,463","827,027",,"1,451,868","388,670","725,032","1,063,889",,,"851,002","1,250,010","1,618,131","1,125,502","751,610","1,147,992",,"903,143","1,299,882","3,028,184","509,431","1,101,522","1,956,218","3,028,184","2,223,608","3,400,488","4,731,489","1,358,724",,,,,,,,,,,,,,,,,,
Net interest income,,,,,2,"159,391",,,,3.2,"359,808",,"822,289",,"299,796","524,165","959,543","483,373","428,874","057,999","260,090","575,616",,,"380,089","776,516",,"4,654,627","999,871","1,549,556","2,344,106","740,029","3,500,960",,,,,,,,,,,,,,,,,
Net trading income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",",",",",",",",",",",",",",",",",",",",",,",",",",",",","
Other operating income,"69,515",,"40,185","49,469",,"21,487","48,846",,"85,982","18,585","34,854","53,301","103,899","21,465","40,404","67,509","151,053","48,537","79,190","109,135","32,286","67,422","100,397","227,163","55,788","103,661","144,400","227,163","111,527",,"451,815","129,882","261,300",,,,,,,,,,,,,,,,,
Total operating income,,"280,640",,,"957,801","235,019",,,,"288,909",,"843,470",,"184,041","506,652","823,904",,"658,040",,,"392,983","824,441","4,279,414","2,346,815","534,386","1,082,521","1,645,134","2,346,815","1,390,145","2,145,014","3,177,600",,,,,,,,,,,,,,,,,,,
Operating expense,"169,294","32,268",,,"194,843","34,504","81,056","126,703","240,503","43,308","99,672","165,677",,"49,590","106,731",,"322,380","118,277","145,026","221,000","76,699","156,173","246,897","477,361","100,590","218,814",,,"260,083","416,429","573,134","161,688",,,,,,,,,,,,,,,,,,
Other operating expenses,"169,294","32,268",,,"194,843","34,504","81,056","126,703","240,503","43,308","99,672","165,677",,"49,590","106,731",,"322,380","118,277","145,026","221,000","76,699","156,173","246,897","477,361","100,590","218,814",,,"260,083","416,429","573,134","161,688",,,,,,,,,,,,,,,,,,
Operating Profit,"602,964","163,724","163,724",,"584,673","153,325","305,650",,"818,953",3.8,"311,625","535,343","746,347","82,626","286,182",,"852,028",47326,"403,517","884,007","239,458","514,209","800,350",4456073,"349,531","681,049","1,012,532","1,456,073","881,281","1,344,286","2,002,361",,,,,,,,,,,,,,,,,,,
Non-controlling interest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",","
