Particulars,Q1 2064, Q2 2064, Q3 2064, Q4 2064, Q1 2065, Q2 2065, Q3 2065, Q4 2065, Q1 2066, Q2 2066, Q3 2066, Q4 2066, Q1 2067, Q2 2067, Q3 2067, Q4 2067, Q1 2068, Q2 2068, Q3 2068, Q4 2068, Q1 2069, Q2 2069, Q3 2069, Q4 2069, Q1 2070, Q2 2070, Q3 2070, Q4 2070, Q1 2071, Q2 2071, Q3 2071, Q4 2071, Q1 2072, Q2 2072, Q3 2072, Q4 2072, Q1 2073, Q2 2073, Q3 2073, Q4 2073, Q1 2074, Q2 2074, Q3 2074, Q4 2074, Q1 2075, Q2 2075, Q3 2075, Q4 2075, Q1 2076, Q2 2076, Q3 2076, Q4 2076, Q1 2077, Q2 2077, Q3 2077, Q4 2077, Q1 2078, Q2 2078, Q3 2078, Q4 2078, Q1 2079, Q2 2079, Q3 2079, Q4 2079, Q1 2080, Q2 2080, Q3 2080, Q4 2080, Q1 2074.PDF
Capital Fund to RWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Performing Loan to Total Loan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44%,0.44%,,,,,,,,,,,,,0.84%,,,,,,
Total Loan Loss Provision to Total NPL,,,,,,,,,,,,,,,,,,,,,,,,,113.89%,97.93%,99.33%,103.80%,118.73%,97.25%,109.96%,119.82%,134.88%,139.18%,157.36%,189.03%,,193.85%,220.92%,306.65%,,438%,,,25.00%,,,,,,,,,,,,,,,,,,,,,,,,371%
Cost of Funds,,,,,,,,,,,,,,,,,,,,,,,,,6.88%,6.54%,6.40%,6.18%,5.99%,5.03%,,,5.12%,5.11%,4.85%,4.55%,441%,4.15%,4.49%,5.29%,,,,,5,,7.16%,,6.97%,7.06%,,,,,,,,,,,,,8.55%,,,,,,6.07%
Credit to Deposit Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.16%,,78.71%,,74.84%,79.05%,,,,,,,,,,,,,85.12%,,,,,,
Base Rate,,,,,,,,,,,,,,,,,,,,,,,,,9.59%,9.36%,8.69%,8.03%,7.88%,7.35%,7.78%,7.57%,7.96%,7.30%,6.69%,6.27%,,6.50%,7.39%,10.00%,,10.78%,,,,,,,9.48%,9.56%,,,,,,,,,,,,,11.19%,,,,,,11.27%
Interest Rate Spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41%,5.18%,,,,,,,,,,,,,4.38%,,,,,,
Market Share Price ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Total Assets ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Equity ,,,,,,,,,,,,,,,,,,,,,,,,,12.77%,10.83%,13.78%,16.68%,15.66%,12.27%,13.78%,14.75%,13.27%,11.13%,17.40%,17.19%,,13.6%,18.1%,18.7%,,10.41%,,,,,,,,,,,,,,,,,,,,,,,,,,,17%
Net Worth Per share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets Per Share,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
